text,label,source_url,label_id
"BackgroundEmerging evidence in cancer neuroscience indicates that the nervous system interacts directly or indirectly with cancer cells, promoting tumor progression. The prostate gland contains an extensive neural network essential for regulating key physiological functions of prostate cells, and the significant neural distribution observed in prostate cancer highlights its critical role in driving cancer pathogenesis. Unfortunately, Comprehensive reviews systematically summarizing progress in cancer neuroscience for prostate cancer are currently lacking.MethodWe synthesize existing research on interactions between the nervous system and prostate cancer cells, explore the neural distribution within the prostate, and evaluate the impact of neural innervation on prostate cancer development and progression. Additionally, we also assess the potential neural regulation mechanisms in neuroendocrine prostate cancer (NEPC).ResultWe found that neural interactions significantly influence prostate cancer development. Neural circuitry within the tumor microenvironment drives progression and contributes to the aggressiveness of lethal subtypes like NEPC. Targeting neuromodulation emerges as a promising therapeutic approach, potentially allowing the repurposing of established medications for treating advanced tumors.ConclusionNeuromodulation offers a promising therapeutic option for advanced prostate cancer, particularly NEPC, which faces limited treatment options. However, further research is necessary to fully understand the neural regulatory mechanisms involved in prostate cancer development and to identify new therapeutic targets and strategies for advanced stages.",Neuroscience,https://link.springer.com/article/10.1038/s41391-025-01042-y,0
"We provide a quantitative analysis of the philosophy-neuroscience nexus using citation analysis. Combining bibliometric indicators of cross-field visibility with journal citation mapping techniques, we investigate four dimensions of the nexus: how the visibility of neuroscience in philosophy and of philosophy in neuroscience has changed over time, which areas of philosophy are more interested in neuroscience, which areas of neuroscience are more interested in philosophy, and how the trading zone between the two fields is configured. We also discuss two hypotheses: the supposed occurrence of a neuro-revolution in philosophy and the role of psychology as the disciplinary link between neuroscience and philosophy. Both the visibility of neuroscience in philosophy and the visibility of philosophy in neuroscience have increased significantly from 1980 to 2020, albeit the latter remains an order of magnitude lower than the former. Neuroscience is particularly visible in philosophy of mind, applied ethics, philosophy of science, but not in ‘core’ areas of analytic philosophy. Philosophy is particularly visible in cognitive and systems neuroscience and neuropsychiatry, but not in biomedical neuroscience. As for the trading zone between philosophy and neuroscience, our data show that it works differently in philosophy and in neuroscience. While some philosophy journals are active loci of bidirectional communication, neuroscience journals are divided between journals ‘importing’ philosophy in neuroscience and journals ‘exporting’ neuroscience to philosophy. Lastly, data do not support the hypothesis that a widespread neuro-revolution has transformed philosophy radically, but support the hypothesis that psychology functions as a mediating disciplinary link between philosophy and neuroscience.",Neuroscience,https://link.springer.com/article/10.1007/s13194-024-00621-5,0
"The model organism approach in neuroscience promises to yield insights into the workings of the human brain and reveal general principles of nervous system structure and function. Yet its success depends on the representativeness of the model organisms studied. If model organisms are representative of species beyond themselves, they can provide a suitable basis for reliably extrapolating findings to humans and other organisms. However, model organism selection in neuroscience is rarely optimized for representativeness, and instead primarily reflects other considerations such as cost, convenience, and historical convention. This is especially true for model organisms repurposed from other scientific domains, where organisms are ported from one experimental context to another based on a previous track record of success combined with the availability of associated methods and research infrastructure. Consequently, many studies in neuroscience provide a weak foundation for extrapolation. After discussing this widespread issue in neuroscience, I suggest that the way forward involves more careful attention to comparative data and insights about biological evolution.",Neuroscience,https://link.springer.com/article/10.1007/s10539-025-09999-9,0
"IntroductionNeuroscience is a young discipline and an expanding field of study and research. The number of neuroscience postgraduate courses has risen much more rapidly than in any other field of biomedical research. However, from a scholarship perspective, the master's experience has been understudied. This work focuses on the answers given by a group of neuroscience alumni, a rarely examined academic cohort, to a straightforward question: ‘What is the most important lesson you learnt as a master's student?’.MethodsThematic analysis was performed on 27 entries hosted by a public-facing blog of a STEM-intense university across four academic years.ResultsFour themes emerged: Skills, Theoretical knowledge, Attitudes and Community. Beyond replicating previous findings on the importance of skills and theoretical knowledge, an ‘imbalance’ between them has been reported for the first time. What emerges in our work is the overwhelming importance the alumni place in attitudes, especially resilience, and in the social/community aspects of learning, along with the role played by fellow students, faculty and laboratory colleagues.DiscussionThe master's level can be the ideal one for increasing awareness of resilience and learning how to make the most of it. Institutions should consider strategies for strengthening informal learning and supporting the development of professional identities. These findings can be of interest to a wide range of neuroscience educators and provide useful insights for designing effective postgraduate training courses. Future works can investigate thehowbeyond thewhatand explore the roles played by attitudes, emotions and feelings across neuroscientists’ career stages.",Neuroscience,https://link.springer.com/article/10.1186/s12909-024-05970-6,0
"Proximity labeling (PL) techniques have advanced neuroscience by revealing the molecular interactions that govern neural circuits. From foundational tools such as BioID and APEX to recent innovations such as TurboID and light-activated systems, PL enables precise mapping of protein–protein interactions within living cells. Recent applications have identified dynamic protein networks in synaptic remodeling, calcium-dependent signaling and disease states, such as neurodegenerative and psychiatric disorders. These studies not only deepen our comprehension of the molecular architecture of the brain but also uncover novel therapeutic targets. By integrating PL with cutting-edge multi-omics strategies and advanced imaging technologies, researchers can decode the intricate interplay between structural and functional neural networks. As PL technologies continue to evolve, they bridge molecular and cellular neuroscience, offering a useful framework for unraveling the complexity of brain networks. Here, in this Review, we underscore the potential of PL in neuroscience, furthering our understanding of the molecular basis of neural connectivity in both health and disease.",Neuroscience,https://link.springer.com/article/10.1038/s12276-025-01491-4,0
"The exponential growth of neuroscientific data necessitates platforms for data management and multidisciplinary collaboration. In this paper, we introduce Pennsieve, an open-source, cloud-based scientific data management platform that supports findable, accessible, interoperable, and reusable (FAIR) data sharing. It has integrated tools for data visualization, processing, and peer-reviewed data publishing that promote collaborative research and high-quality datasets optimized for downstream analysis, both in the cloud and on-premises. Pennsieve welcomes data submissions from individual investigators and small labs through entire consortia. It already serves more than 80 research groups worldwide and forms the core for several large-scale, interinstitutional projects and major government neuroscience research programs. Pennsieve stores over 125 TB of scientific data, with 35 TB of data publicly available in more than 350 high-impact datasets. By facilitating scientific data management, discovery, and analysis, Pennsieve fosters a robust and collaborative research ecosystem for neuroscience and beyond.",Neuroscience,https://link.springer.com/article/10.1038/s41597-025-06075-5,0
"TheLittle Brain Big Brain meetingwas established more than 30 years ago as an opportunity for early career researchers to meet, present and discuss exciting new developments in the field of enteric neuroscience and neurogastroenterology. Crucially, the meeting is organized by young investigators, for young investigators. In this Viewpoint, past attendees and organizers of the Little Brain Big Brain meeting discuss their research interests, share their experience with this unique meeting and provide insights into progress in the field of enteric neuroscience and neurogastroenterology and its future outlook.",Neuroscience,https://link.springer.com/article/10.1038/s41575-025-01102-7,0
"Computational Neuroscience (CN) is an interdisciplinary field that combines neuroscience, mathematics, artificial intelligence, theoretical models and experimental data to understand how the brain works. It unravels the intricacies of the nervous system contributing significantly to cognitive science, neuroengineering and machine learning. CN importance in artificial intelligence and medical research remains underrepresented in Africa’s academic landscape. This paper explores the current state of CN in Africa, the challenges hindering its integration, the emerging opportunities, and the evidence-based strategies for curriculum implementation. Capacity building, interdisciplinary collaboration, open science, theoretical neuroscience, development of local capacity, and leveraging international partnerships are emphasized.",Neuroscience,https://link.springer.com/article/10.1007/s10827-025-00906-5,0
"Recently, a version of realism has been offered to address the simplification strategies used in computational neuroscience. According to this view, computational models provide us with knowledge about the brain, but they should not be taken literally inanysense, even rejecting the idea that the brain performs computations (computationalism). I acknowledge the need for considerations regarding simplification strategies in neuroscience and how they contribute to our interpretations of computational models; however, I argue that whether we should accept or reject computationalism about the brain is a separate issue that can be addressed independently by a philosophical theory of physical computation. This takes seriously the idea that the brain performs computations while also taking an analogical stance toward computational models in neuroscience. I call this version of realism “Analogical Computational Realism.” Analogical Computational Realism is a realist view in virtue of being committed to computationalism while taking certain computational models to pick out real patterns that provide a how-possibly explanation without also thinking that the model is literally implemented in the brain.",Neuroscience,https://link.springer.com/article/10.1007/s11229-025-04952-5,0
"Modern artificial intelligence (AI) models, such as large language models, are usually trained once on a huge corpus of data, potentially fine-tuned for a specific task and then deployed with fixed parameters. Their training is costly, slow and gradual, requiring billions of repetitions. In stark contrast, animals continuously adapt to the ever-changing contingencies in their environments. This is particularly important for social species, where behavioural policies and reward outcomes may frequently change in interaction with peers. The underlying computational processes are often marked by rapid shifts in an animal’s behaviour and rather sudden transitions in neuronal population activity. Such computational capacities are of growing importance for AI systems operating in the real world, like those guiding robots or autonomous vehicles, or for agentic AI interacting with humans online. Can AI learn from neuroscience? This Perspective explores this question, integrating the literature on continual and in-context learning in AI with the neuroscience of learning on behavioural tasks with shifting rules, reward probabilities or outcomes. We outline an agenda for how the links between neuroscience and AI could be tightened, thus supporting the transfer of ideas and findings between both areas and contributing to the evolving field of NeuroAI.",Neuroscience,https://link.springer.com/article/10.1038/s42256-025-01146-z,0
